.-.----.... (a's)
---.-......-..--.-......-...-..-.-. (olifantssnuiten)
---.-......-..--.-...-.--.-.. (olifantstand)
---.-......-..--.-...-.--.-...-. (olifantstanden)
---.-......-..--.-...----.-. (olifantstor)
---.-......-..--.-...----.-..-..-. (olifantstorren)
---.-......-..--.-...----.-..-..-.---. (olifantstorretje)
---.-......-..--.-...----.-..-..-.---.... (olifantstorretjes)
---.-......-..--.-......----.- (olifantsvoet)
---.-......-..--.-......----.-.-. (olifantsvoeten)
---.-....--..-.-.-.-........ (oligarchie)
---.-....--..-.-.-.-........-. (oligarchieãn)
---.-.....---..-. (olijf)
---.-.....---..-..--.-.....-..--. (olijfachtig)
---.-.....---..-..--.-.....-..--...-. (olijfachtiger)
---.-.....---..-..--.-.....-..--....- (olijfachtigst)
---.-.....---..-.......-.--. (olijfberg)
---.-.....---..-.......-.--..-. (olijfbergen)
---.-.....---..-.-... (olijfde)
---.-.....---..-.--..-.---.-. (olijfgroen)
---.-.....---..-..---. (olijfje)
---.-.....---..-..---.... (olijfjes)
---.-.....---..-.-.-.-.....-.-...--. (olijfkleurig)
---.-.....---..-.-.-.-..--.... (olijfkrans)
---.-.....---..-.-.-.-..--.....-. (olijfkransen)
---.-.....---..-.---.-..... (olijfolie)
---.-.....---..-.-.--.- (olijftak)
---.-.....---..-.-.--.--.-.-. (olijftakken)
---.-.....---...-.-. (olijven)
---.-.....---...-.-.....---..-- (olijvenhout)
---.-.....---...-.-.---.-..... (olijvenolie)
---.-.....---...-.-.--------....- (olijvenoogst)
---.-.....---...-.-..--...-.... (olijvenpers)
---.-.....---...-.-..--...-.....-. (olijvenpersen)
---.-.....---...-.-.-...----.. (olijventijd)
---.-...-...-.-.....---.-...-...-.-. (ollekebolleke)
---.-..-- (olm)
---.-..--.-. (olmen)
---.-..--.-.....---..-- (olmenhout)
---.-..--....---..-- (olmhout)
---.-..--.--..---. (olmpje)
---.-..--.--..---.... (olmpjes)
---.-..-----..-..-.--..........-.-..... (olographisch)
.-..-.----.--......-.-..... (Olympisch)
.-..-.----.--...-... (Olympus)
-----.- (oma)
-----.--.--.-..-..-. (omakkeren)
-----.-.-.---.. (omarmd)
-----.-.-.---... (omarmde)
-----.-.-.--.-. (omarmen)
-----.-.-.--..-.--. (omarming)
-----.-.-.--..-.--..-. (omarmingen)
-----.....--.-....-. (ombaksen)
-----.....-.-...-....-.--. (omballing)
-----.....-....-...-. (ombedelen)
-----......-...-...-. (ombellen)
-----......-. (omber)
-----......-..-.-.-. (omberaar)
-----......-..-.-.-.... (omberaars)
-----......-.-... (omberde)
-----......-.-..------... (omberdoos)
-----......-.-..------....---. (omberdoosje)
-----......-.-..------....---.... (omberdoosjes)
-----......-.-..--------...-. (omberdoozen)
-----......-..-. (omberen)
-----......-.--..--....-.....-.-......-.--. (ombergezelschap)
-----......-.--..--....-.....-.-......-.--..--..-. (ombergezelschappen)
-----......-.-.-.-.-.-.-.-. (omberkaarten)
-----......-.-.-.-.....-.-. (omberkleur)
-----......-.-.-.-..--.... (omberkrans)
-----......-.-.-.-..--.....-. (omberkransen)
-----......-.-.-.-..--.....---. (omberkransje)
-----......-.-.-.-..--.....---.... (omberkransjes)
-----......-..--..-.-.-...--- (omberpartij)
-----......-..--..-.-.-...---.-. (omberpartijen)
-----......-..--..-.-.-...----.---. (omberpartijtje)
-----......-..--..-.-.-...----.---.... (omberpartijtjes)
-----......-.... (ombers)
-----......-.....--...-.. (omberspel)
-----......-.....--...-...-. (omberspelen)
-----......-.....--...-...-...-. (omberspellen)
-----......-.....--...-...-...-.---. (omberspelletje)
-----......-.....--...-...-...-.---.... (omberspelletjes)
-----......-.-.-..-...-.. (ombertafel)
-----......-.-.-..-...-..... (ombertafels)
-----......-.-.-..-...-..-.---. (ombertafeltje)
-----......-.-.-..-...-..-.---.... (ombertafeltjes)
-----......-.-.---. (ombertje)
-----......-.-.---.... (ombertjes)
-----......-....-.....-.-..... (ombervisch)
-----......-....-........-.-......-. (ombervisschen)
-----......-....------...-.. (ombervogel)
-----......-....------...-..... (ombervogels)
-----.......----.-. (ombijten)
-----......-.-...-. (ombinden)
-----.....-...---...-. (omblazen)
-----.....-.....---...-.-. (omblijven)
-----.....-....-.-....--.-. (ombliksemen)
-----.....-..---...-.. (ombloeid)
-----.....-..---...-... (ombloeide)
-----.....-..---....-. (ombloeien)
-----....---.-..-. (omboenen)
-----....---..-..-. (omboeren)
-----....----.-.. (ombond)
-----....----.-...-. (ombonden)
-----....----.--...-. (ombonzen)
-----....------.-.-.. (omboord)
-----....------.-.-..-... (omboordde)
-----....------.-.-...-. (omboorden)
-----....------.-.-....-.--. (omboording)
-----....------.-.-....-.--..-. (omboordingen)
-----....------.-.-.......-.. (omboordsel)
-----....------.-.-.......-...-. (omboordselen)
-----....------.-.-.......-..... (omboordsels)
-----.....-..-.......-. (ombrassen)
-----.....-.....-. (ombreien)
-----.....-..-.--..-. (ombrengen)
-----.....-..-.--...-. (ombrenger)
-----.....-..-.--...-.... (ombrengers)
-----.....-..-.--...-.--. (ombrenging)
-----.....-..-.--....-..-. (ombrengster)
-----.....-..-.--....-..-.... (ombrengsters)
-----.....-...-......-. (ombruisen)
-----.....-...-.....- (ombruist)
-----.....-...-.....-. (ombruiste)
-----......-..--..-. (ombuigen)
-----......-..--...-.--. (ombuiging)
-----......-..--...-.--..-. (ombuigingen)
-----......-..-..-...-. (ombuitelen)
-----......-..-..-....-.--. (ombuiteling)
-----......-..-..-....-.--..-. (ombuitelingen)
------...----.. (omdamd)
------...----... (omdamde)
------...-----.-. (omdammen)
------...-----..-.--. (omdamming)
------...-----..-.--..-. (omdammingen)
------...-- (omdat)
------.....-...-. (omdeelen)
------.....-....-. (omdeeler)
------.....-....-.... (omdeelers)
------.....-....-.--. (omdeeling)
------.....-....-.--..-. (omdeelingen)
------.....----.-.-. (omdijken)
------.....----.-..-.--. (omdijking)
------.....----.-..-.--..-. (omdijkingen)
------.....----.-- (omdijkt)
------.....----.--. (omdijkte)
------..---..........-..-. (omdobberen)
------..---.-. (omdoen)
------..---.-...-. (omdolen)
------..---.-....-.--. (omdoling)
------..---.-....-.--..-. (omdolingen)
------..----.-....-..-. (omdonderen)
------..------.-..-.. (omdoold)
------..------.-..-... (omdoolde)
------..---..-.--.-. (omdouwen)
------...-..-.-.. (omdraai)
------...-..-.-...-. (omdraaien)
------...-..-.-....-.--. (omdraaiing)
------...-..-.-....-.--..-. (omdraaiingen)
------...-..--.-.....- (omdracht)
------...-..--.-.....-.-. (omdrachten)
------...-..---..-. (omdragen)
------...-..-...-.-. (omdraven)
------...-.....-. (omdreef)
------...-.....-.-. (omdreven)
------...-....---...-.-. (omdrijven)
------...-...-.-.-.-. (omdrinken)
------...-.-----..-. (omdrogen)
------....-..-.-..-...-. (omduikelen)
------....-.--.-. (omduwen)
------...--.-.-...-. (omdwalen)
------...--.-.-....-.--. (omdwaling)
------...--.-.-....-.--..-. (omdwalingen)
------...--....-...-. (omdweilen)
-----.--..- (omega)
-----.--..-.----.... (omega's)
-----.--.--..-. (omeggen)
-----..-...- (omelet)
-----..-...-.---. (omeletje)
-----..-...-.---.... (omeletjes)
-----..-...--.-. (omeletten)
-----..-..-...--..-....-.-.. (omfladderd)
-----..-..-...--..-....-.-... (omfladderde)
-----..-..-...--..-....-..-. (omfladderen)
-----..-..-....-.--.-..-.-.. (omflikkerd)
-----..-..-....-.--.-..-.-... (omflikkerde)
-----..-..-....-.--.-..-..-. (omflikkeren)
-----..-..-..---..-.....-. (omfloersen)
-----..-..-..---..-....- (omfloerst)
-----..-..-..---..-....-. (omfloerste)
-------..-.--. (omgaan)
-------..-..-. (omgaf)
-------..--.--. (omgang)
-------..--.--..-. (omgangen)
-------..--.--....-.-.-.-.. (omgangstaal)
-------..-...-.-. (omgaven)
-------...--.--.-..-.-.. (omgeakkerd)
-------.......--.-...- (omgebakst)
-------.......-....-..-.. (omgebedeld)
-------........-..-.. (omgebeld)
-------.......-.-. (omgebeten)
-------.......-...---...-. (omgeblazen)
-------.......-......-.-. (omgebleven)
-------.......-....-.-....---.. (omgebliksemd)
-------......---.-.-.. (omgeboend)
-------......---..-.-.. (omgeboerd)
-------......-----..-. (omgebogen)
-------......----.-...-. (omgebonden)
-------......----....-.. (omgebonsd)
-------......------.-.-.. (omgeboord)
-------.......-..--.-.....- (omgebracht)
-------.......-..-...- (omgebrast)
-------.......-....-.. (omgebreid)
-------.......-...-.....- (omgebruist)
-------........-..-..-..-.. (omgebuiteld)
-------..-...-.--. (omgedaan)
-------..-.....-..-.. (omgedeeld)
-------..-..---..........-.-.. (omgedobberd)
-------..-..----.-....-.-.. (omgedonderd)
-------..-..------.-..-.. (omgedoold)
-------..-...-..-.-..-.-.. (omgedraafd)
-------..-...-..-.-..-.. (omgedraaid)
-------..-...-..---..-. (omgedragen)
-------..-...-.....-.-. (omgedreven)
-------..-...-.----.-.-.-. (omgedronken)
-------..-...-.--------.-.. (omgedroogd)
-------..-....-..-.-..-..-.. (omgeduikeld)
-------..-....-.---.. (omgeduwd)
-------..-...--.-.-.-..-.. (omgedwaald)
-------..-...--....-..-.. (omgedweild)
-------....-..-...--..-....-.-.. (omgefladderd)
-------....-..-....-.--.-..-.-.. (omgeflikkerd)
-------..--..-.--. (omgegaan)
-------..--......--.- (omgegespt)
-------..--.....-.-. (omgegeven)
-------..--..-...-...-. (omgegleden)
-------..--..-....-..-.-.-.. (omgegluurd)
-------..--.---.-....-.-.. (omgegolfd)
-------..--.------..-.. (omgegooid)
-------..--.---.-.-.. (omgegord)
-------..--.----.-. (omgegoten)
-------..--..-..-...-.-. (omgegraven)
-------..--..-...--..-. (omgegrepen)
-------.......-.--.-- (omgehaakt)
-------.......-.-.-..-.. (omgehaald)
-------.......--.. (omgehad)
-------.......--.-- (omgehakt)
-------.......--.--..-. (omgehangen)
-------......---..--...-..-.. (omgehoepeld)
-------......---.-..-.. (omgehold)
-------......---.-...--..-. (omgeholpen)
-------......------.-.-.. (omgehoord)
-------......---..--...-. (omgehouden)
-------......---..-.--.-. (omgehouwen)
-------........-...-..-.. (omgehuild)
-------........--.....-..-.. (omgehutseld)
-------..-.-.--.- (omgekant)
-------..-.-.--.-..-..-.. (omgekanteld)
-------..-.-.-.--.- (omgekapt)
-------..-.-...-.-.. (omgekeerd)
-------..-.-.--...-..-.. (omgekegeld)
-------..-.-.-.-.-. (omgekeken)
-------..-.-.-.-..-.-.. (omgekenterd)
-------..-.-.-....-.. (omgekleed)
-------..-.-.-..----.-.-.-. (omgeklonken)
-------..-.-.-..---.--.- (omgeklopt)
-------..-.-.-..----...- (omgeklotst)
-------..-.--..-..........-..-.. (omgeknabbeld)
-------..-.--...-.--.-..-.-.. (omgeknikkerd)
-------..-.--.------.--.- (omgeknoopt)
-------..-.-----.-.....- (omgekocht)
-------..-.------.-. (omgekomen)
-------..-.-.-..--..-. (omgekregen)
-------..-.-.-....--.-- (omgekreukt)
-------..-.-.-.------.. (omgekromd)
-------..-.-.-.----.-.-..-..-.. (omgekronkeld)
-------..-.-.-.------...-. (omgekrooien)
-------..-.-.-.---.--..-. (omgekropen)
-------..-.-.-...-..-.. (omgekruid)
-------..-.-.-...-.-..-.. (omgekruld)
-------..-.-..-....-.-.. (omgekuierd)
-------..-.-..-...--.- (omgekuipt)
-------..-.-..--.-.. (omgekund)
-------..-.-.--.--.-- (omgekwakt)
-------...-...--...-. (omgeladen)
-------...-...--.-...-. (omgelanden)
-------...-...--.-. (omgelaten)
-------...-...-...-...-.-.. (omgelaveerd)
-------...-......-.-.. (omgeleefd)
-------...-...--.-.. (omgelegd)
-------...-...--..-. (omgelegen)
-------...-.....-.. (omgeleid)
-------...-....-.-- (omgelikt)
-------...-..------.--..-. (omgeloopen)
-------...-....-..-.. (omgeluid)
-------...-....-----..-..-.. (omgelummeld)
-------..--.-.--.-- (omgemaakt)
-------..--.-.-.-..-.. (omgemaald)
-------..--.--.--...-..-.. (omgemangeld)
-------..--.-.-.-.-........-.-.. (omgemarcheerd)
-------..--.-.-. (omgemeten)
-------..-----.-.-. (omgemoeten)
-------..-..-.-..-.. (omgenaaid)
-------...--..---..-.-..-.. (omgepagaaid)
-------...--..--.-- (omgepakt)
-------...--..-...- (omgepast)
-------...--..-...---.-.. (omgeplagd)
-------...--..-...--.- (omgeplant)
-------...--..-...-...- (omgeplast)
-------...--..-..---.--.-.. (omgeploegd)
-------...--..-..---.-..-.-.. (omgeploeterd)
-------...--..-..---..-.- (omgeploft)
-------...--..-..------..-.. (omgeplooid)
-------...--.------- (omgepoot)
-------...--..-..-.-- (omgepraat)
-------...-..-.--.-- (omgeraakt)
-------...-..-----...-.. (omgerammeid)
-------...-..--......-..-.. (omgeranseld)
-------...-..-...-. (omgereden)
-------...-....-.-- (omgereikt)
-------...-.......-.. (omgereisd)
-------...-..-.-.. (omgerend)
-------...-...-.--.-.. (omgeringd)
-------...-.---...-.. (omgeroeid)
-------...-.---..--..-. (omgeroepen)
-------...-.---..-.-.. (omgeroerd)
-------...-.---.-..-.. (omgerold)
-------...-...-...-..-.. (omgeruild)
-------...-...--.-- (omgerukt)
-------......-......-..-.. (omgesabeld)
-------.....-.-......--.-..-..-.. (omgeschakeld)
-------.....-.-......-.--..-. (omgeschapen)
-------.....-.-......-.-..-...-..-.. (omgescharreld)
-------.....-.-.......--.- (omgeschept)
-------.....-.-.......-.---.. (omgeschermd)
-------.....-.-........-.-.-.. (omgescheurd)
-------.....-.-.......-.-- (omgeschikt)
-------.....-.-.....---..-...-...-..-.. (omgeschoffeld)
-------.....-.-.....-------..-..-.. (omgeschommeld)
-------.....-.-.....----.-.-.-. (omgeschonken)
-------.....-.-.....------..-.. (omgeschooid)
-------.....-.-.....---.--.- (omgeschopt)
-------.....-.-.....---.-..-. (omgeschoren)
-------.....-.-.....----.-. (omgeschoten)
-------.....-.-.....---...-.-. (omgeschoven)
-------.....-.-......-..-.-.--.- (omgeschraapt)
-------.....-.-......-..-....-.. (omgeschrabd)
-------.....-.-......-..-..-...-..-.. (omgeschrafeld)
-------.....-.-......-.....-.---.. (omgeschreeuwd)
-------.....-.-......-.....-.-. (omgeschreven)
-------.....-.-.......--.. (omgeschud)
-------.....-.-.......-....-.-.. (omgeschuierd)
-------.....-.-.......-.-...--.- (omgeschulpt)
-------.....-.-.......-..-.-.-.. (omgeschuurd)
-------......-------.-- (omgesjokt)
-------......------..-.---.. (omgesjouwd)
-------......-...---..-. (omgeslagen)
-------......-.....--.- (omgesleept)
-------......-...-.-..-.-.. (omgeslenterd)
-------......-.....-.-.-.. (omgesleurd)
-------......-....-.--...-.-.. (omgeslingerd)
-------......-..---..-.- (omgesloft)
-------......-..---.--..-. (omgeslopen)
-------.....--.--.-- (omgesmakt)
-------.....--..-.. (omgesmeed)
-------.....--.-.-. (omgesmeten)
-------.....-----.-..-.-. (omgesmolten)
-------.....-...-..-.. (omgesneld)
-------.....-.---..-.-.. (omgesnoerd)
-------.....-.---.-.-.. (omgesnord)
-------.....-...-..-...-...-..-.. (omgesnuffeld)
-------.....---.-..-.. (omgesold)
-------......--..--.-..-. (omgespannen)
-------......--..-- (omgespat)
-------......--...-..-.. (omgespeld)
-------......--..-. (omgespen)
-------......--...- (omgespit)
-------......--.---..-..-.. (omgespoeld)
-------......--.-------.-- (omgespookt)
-------......--..-.----.--..-. (omgesprongen)
-------.....-.-.--. (omgestaan)
-------.....-.-.--.- (omgestapt)
-------.....-....-.-.-.. (omgestevend)
-------.....----...-.. (omgestoeid)
-------.....-----.-.-. (omgestoken)
-------.....----------.. (omgestoomd)
-------.....--------.-. (omgestooten)
-------.....----.-.---.. (omgestormd)
-------.....----.-.- (omgestort)
-------.....----...-.-. (omgestoven)
-------.....-.-..-.-.-..-.. (omgestraald)
-------.....-.-...-.-- (omgestrikt)
-------.....-.-.-----.--...-..-.. (omgestrompeld)
-------.....-.-.------..-.. (omgestrooid)
-------.....-.-.------.--.- (omgestroopt)
-------.....-..-.-...--.- (omgestulpt)
-------.....-..-..-.-.-.. (omgestuurd)
-------.......--.--.-..-..-.. (omgesukkeld)
-------..-.-...- (omgetast)
-------..-..-..-.. (omgeteld)
-------..-..----..-.-.. (omgetimmerd)
-------..----....-.. (omgetobd)
-------..----.-..-.. (omgetold)
-------..-----.-.. (omgetond)
-------..-------...-..-.-.. (omgetooverd)
-------..-.-..-.--.- (omgetrapt)
-------..-.-..-...-. (omgetreden)
-------..-.-.----.--.-.-. (omgetrokken)
-------..-.-.-------..-..-.. (omgetrommeld)
-------..-..-..--..-..-.. (omgetuimeld)
-------....-.-.-.. (omgeurd)
-------....-.-.-... (omgeurde)
-------....-.-..-. (omgeuren)
-------.....-.-.-...-...-. (omgevallen)
-------.....-.-.-..-. (omgevaren)
-------.....-.-. (omgeven)
-------.....-.-.- (omgevent)
-------.....-..-.--. (omgeving)
-------.....-.-..----...-. (omgevloden)
-------.....-.-..---...-.. (omgevloeid)
-------.....-.-..-----..-. (omgevlogen)
-------.....-.-..----.-. (omgevloten)
-------.....----..-.-.. (omgevoerd)
-------.....----..-.--.-. (omgevouwen)
-------.....-.-..-.---.-.. (omgevraagd)
-------...--.-.-..-.. (omgewaaid)
-------...--.-.-.-.-.. (omgewaard)
-------...--.--.-....-..-.. (omgewandeld)
-------...--.-......-.-......-. (omgewasschen)
-------...--...-.. (omgeweid)
-------...--.-.-.. (omgewend)
-------...--.-.-..-..-.. (omgewenteld)
-------...--..-.-.-- (omgewerkt)
-------...--...--...-..-.. (omgewiegeld)
-------...--...-..-.. (omgewild)
-------...--...--.- (omgewipt)
-------...--..........-..-.. (omgewisseld)
-------...-----..-..-.. (omgewoeld)
-------...-----.-..--..-. (omgeworpen)
-------...--.-...-.-- (omgewrikt)
-------...--.-.---.- (omgewroet)
-------..--...-.---.-.. (omgezaagd)
-------..--...--....-..-.. (omgezadeld)
-------..--...--.-- (omgezakt)
-------..--...--.-.. (omgezegd)
-------..--.....-.. (omgezeid)
-------..--......-..-.. (omgezeild)
-------..--...- (omgezet)
-------..--...-.-. (omgezeten)
-------..--...-.-..-. (omgezetenen)
-------..--.....-. (omgezien)
-------..--..----.-.....- (omgezocht)
-------..--..----.-...-. (omgezonden)
-------..--..---------.. (omgezoomd)
-------..--...--.-.-..-.. (omgezwaaid)
-------..--...--.-.-..-.-- (omgezwalkt)
-------..--...--.-.-...--.- (omgezwalpt)
-------..--...--....-.-.. (omgezweefd)
-------..--...--.-.-.-- (omgezwenkt)
-------..--...--..-.---.. (omgezwermd)
-------..--...--....--.- (omgezwiept)
-------..--...--....-.-.. (omgezwierd)
-------..--...--..-.-- (omgezwikt)
-------..--...---------.-. (omgezwommen)
-------..--...-----.-....-.-. (omgezworven)
-------..--.-.. (omgeãgd)
-------....-.-. (omgieten)
-------..-.....----...-. (omglijden)
-------..-....-.-..-. (omgluren)
-------.------...-. (omgooien)
-------.---.-.-.. (omgord)
-------..-..-...-.-. (omgraven)
-------..-..-...-..-.--. (omgraving)
-------..-..-...-..-.--..-. (omgravingen)
-------..-..-....-.. (omgrensd)
-------..-..-....-... (omgrensde)
-------..-..-.--...-. (omgrenzen)
-------..-..-.--....-.--. (omgrenzing)
-------..-..-.--....-.--..-. (omgrenzingen)
-------..-....---.--..-. (omgrijpen)
-------..-.---...-. (omgroef)
-------..-.---...-.. (omgroeid)
-------..-.---...-... (omgroeide)
-------..-.---....-. (omgroeien)
-------..-.---....-.-. (omgroeven)
-----.....-.-.-.. (omhaal)
-----.....-.-.-..-.---. (omhaaltje)
-----.....-.-.-..-.---.... (omhaaltjes)
-----.....--.-.-. (omhaken)
-----.....--.--.-.-. (omhakken)
-----.....--.--.-..-.--. (omhakking)
-----.....--.--.-..-.--..-. (omhakkingen)
-----.....-.-...-. (omhalen)
-----.....-.-....-.--. (omhaling)
-----.....-.-....-.--..-. (omhalingen)
-----.....--.--...-..... (omhangels)
-----.....--.--..-. (omhangen)
-----.....--.--...-.--. (omhanging)
-----.....--.--......-.. (omhangsel)
-----.....--.--......-...-. (omhangselen)
-----..............-. (omhebben)
-----......-. (omheen)
-----.......-.-.. (omheind)
-----.......-.-... (omheinde)
-----.......-..-. (omheinen)
-----.......-...-.--. (omheining)
-----.......-...-.--..-. (omheiningen)
-----.......-...-.-.-.---. (omheininkje)
-----.......-...-.-.-.---.... (omheininkjes)
-----......-...--..-. (omhelpen)
-----......-.....-.. (omhelsd)
